objectid,subject,filename,NTEEC,NAICS,title,format,LEGALNAME,ALTNAME,AKADBA,WEBURL,date,longitude,latitude,locale,GSTREET,GCITY,GSTATE,GZIP5
8404200068,Uncategorized,city.png,,,Rodin Museum,image/png,RODIN MUSEUM,,,HTTP://WWW.RODINMUSEUM.ORG/,,-75.17835,39.94712,City,2154 BENJAMIN FRANKLIN PKWY,Philadelphia,PA,19103
8404200111,Uncategorized,city.png,,,Maslow Collection,image/png,MASLOW COLLECTION,,,HTTP://MASLOW.MARYWOOD.EDU/,,-75.63623,41.43385,City,2300 ADAMS AVE,Scranton,PA,18509
8404200205,Uncategorized,city.png,,,Franklin Institute Discovery Camp,image/png,FRANKLIN INSTITUTE DISCOVERY CAMP,,,HTTPS://WWW.FI.EDU/DISCOVERY-CAMP-PROGRAMS,,-75.1724,39.95775,City,222 NORTH 20TH STREET,Philadelphia,PA,19102
8404200219,Student Services; Other Grantmaking and Giving Services,city.png,Student Services,Other Grantmaking and Giving Services,Center For The History Of Footcare & Footwear,image/png,TEMPLE UNIVERSITY SCHOOL OF PODIATRIC MEDICINE FOUNDATION,,,HTTP://PODIATRY.TEMPLE.EDU/,1999,-75.15297,39.95431,City,148 NORTH 8TH STREET,Philadelphia,PA,19107
8404200258,Uncategorized,city.png,,,Benjamin Franklin Tercentenary,image/png,BENJAMIN FRANKLIN TERCENTENARY,,,,,-75.17061,39.95035,City,135 SOUTH 18TH STREET,Philadelphia,PA,19107
8404200262,Uncategorized,city.png,,,Museum Of Anthracite Mining,image/png,ANTHRACITE MUSEUM,,,HTTP://ANTHRACITEMUSEUM.ORG,,-75.7004,41.42014,City,22 BALD MOUNTAIN RD,Scranton,PA,17921
8404200273,Uncategorized,city.png,,,Architectural Archives,image/png,ARCHITECTURAL ARCHIVES,,,HTTPS://WWW.DESIGN.UPENN.EDU/ARCHITECTURAL-ARCHIVES/ABOUT,,-75.19265,39.95212,City,220 SOUTH 34TH STREET,Philadelphia,PA,19104
8404200286,Recreation and Sports; Museums,city.png,Recreation and Sports NEC,Museums,Philadelphia Sports Hall Of Fame,image/png,PHILADELPHIA SPORTS HALL OF FAME FOUNDATION,,,HTTP://WWW.PHILLYHALL.ORG/CONTACT.ASP,2003,-75.01812,40.07572,City,2701 GRANT AVENUE   ,Philadelphia,PA,19123
8404200530,Job Training; Vocational Rehabilitation Services,city.png,Job Training,Vocational Rehabilitation Services,Fabric Workshop,image/png,THE FABRIC WORKSHOP AND MUSEUM,FABRIC WORKSHOP,,HTTP://WWW.FABRICWORKSHOPANDMUSEUM.ORG,1977,-75.16066,39.95376,City,1214 ARCH ST,Philadelphia,PA,19107
8404200542,"Visual Arts; Arts, Entertainment, and Recreation",city.png,Visual Arts,"Arts, Entertainment, and Recreation",Conservation Center For Art & Historic Artifacts,image/png,CONSERVATION CENTER FOR ART AND HISTORIC ARTIFACTS,,,HTTP://WWW.CCAHA.ORG,1977,-75.17915,39.94949,City,264 SOUTH 23RD STREET,Philadelphia,PA,19106
8404200586,Museum; Museum Activities,city.png,"Museum, Museum Activities",Museums,Electric City Trolley Museum,image/png,ELECTRIC CITY TROLLEY MUSEUM ASSOCIATION,,,HTTP://WWW.ECTMA.ORG/,1982,-75.67368,41.40902,City,300 CLIFF ST,Scranton,PA,19101
8404200643,Baseball and Softball; All Other Amusement and Recreation Industries,city.png,Baseball and Softball,All Other Amusement and Recreation Industries,Peter J. Mcgovern Little League Museum,image/png,LITTLE LEAGUE BASEBALL INC,,,HTTP://WWW.LITTLELEAGUE.ORG/LEARN/MUSEUM.HTM,1981,-77.00992,41.25569,City,525 U S 15,Williamsport,PA,17701
8404200685,Museum; Museum Activities; Libraries and Archives,city.png,"Museum, Museum Activities",Libraries and Archives,Masonic Library And Museum Of Pennsylvania,image/png,THE MASONIC LIBRARY AND MUSEUM OF PENNSYLVANIA,MASONIC LIBRARY AND MUSEUM OF PENNSYLVANIA,,,1990,-75.16324,39.95331,City,1 N BROAD ST,Philadelphia,PA,19107
8404200717,Museums; Museum Activities,city.png,"Museum, Museum Activities",Museums,Houdini Museum,image/png,HOUDINI MUSEUM,,,,1994,-75.66351,41.43204,City,1433 N MAIN AVENUE,Scranton,PA,18504
8404200895,Museums; Museum Activities,city.png,"Museum, Museum Activities",Museums,Lest We Forget Black Holocaust Museum,image/png,LEST WE FORGET BLACK HOLOCAUST MUSEUM,LEST WE FORGET BLACK HOLOCAUST MUSEUM OF SLAVERY,,HTTP://LWFSM.COM/,2003,-75.09152,39.98835,City,3650 RICHMOND STREET,Philadelphia,PA,19134
8404201295,Museum; Museum Activities,city.png,"Museum, Museum Activities",Museums,Police Heritage Museum,image/png,POLICE HERITAGE MUSEUM INC,,,HTTP://WWW.POLICEHERITAGEMUSEUM.COM/,1996,-76.72692,39.96261,City,54 WEST MARKET STREET,York,PA,17405
